date,air_temperature,lat,long,station,season,month,year
2021-01-01,2.18,54.614,-3.155,1,1,1,2021
2021-01-02,-0.03,54.614,-3.155,1,1,1,2021
2021-01-03,2.87,54.614,-3.155,1,1,1,2021
2021-01-04,2.8,54.614,-3.155,1,1,1,2021
2021-01-05,2.65,54.614,-3.155,1,1,1,2021
2021-01-06,-0.0,54.614,-3.155,1,1,1,2021
2021-01-07,-0.89,54.614,-3.155,1,1,1,2021
2021-01-08,0.05,54.614,-3.155,1,1,1,2021
2021-01-09,-0.77,54.614,-3.155,1,1,1,2021
2021-01-10,5.38,54.614,-3.155,1,1,1,2021
2021-01-11,7.77,54.614,-3.155,1,1,1,2021
2021-01-12,0.95,54.614,-3.155,1,1,1,2021
2021-01-13,1.18,54.614,-3.155,1,1,1,2021
2021-01-14,2.6,54.614,-3.155,1,1,1,2021
2021-01-15,-0.28,54.614,-3.155,1,1,1,2021
2021-01-16,5.58,54.614,-3.155,1,1,1,2021
2021-01-17,5.67,54.614,-3.155,1,1,1,2021
2021-01-18,6.35,54.614,-3.155,1,1,1,2021
2021-01-19,8.04,54.614,-3.155,1,1,1,2021
2021-01-20,5.57,54.614,-3.155,1,1,1,2021
2021-01-21,3.77,54.614,-3.155,1,1,1,2021
2021-01-22,3.18,54.614,-3.155,1,1,1,2021
2021-01-23,0.46,54.614,-3.155,1,1,1,2021
2021-01-24,-0.82,54.614,-3.155,1,1,1,2021
2021-01-25,2.42,54.614,-3.155,1,1,1,2021
2021-01-26,3.12,54.614,-3.155,1,1,1,2021
2021-01-27,7.25,54.614,-3.155,1,1,1,2021
2021-01-28,5.39,54.614,-3.155,1,1,1,2021
2021-01-29,5.97,54.614,-3.155,1,1,1,2021
2021-01-30,2.7,54.614,-3.155,1,1,1,2021
2021-01-31,2.21,54.614,-3.155,1,1,1,2021
2021-02-01,3.16,54.614,-3.155,1,1,2,2021
2021-02-02,2.38,54.614,-3.155,1,1,2,2021
2021-02-03,4.01,54.614,-3.155,1,1,2,2021
2021-02-04,5.04,54.614,-3.155,1,1,2,2021
2021-02-05,6.28,54.614,-3.155,1,1,2,2021
2021-02-06,5.23,54.614,-3.155,1,1,2,2021
2021-02-07,1.61,54.614,-3.155,1,1,2,2021
2021-02-08,0.22,54.614,-3.155,1,1,2,2021
2021-02-09,-0.6,54.614,-3.155,1,1,2,2021
2021-02-10,-1.38,54.614,-3.155,1,1,2,2021
2021-02-11,-0.05,54.614,-3.155,1,1,2,2021
2021-02-12,0.18,54.614,-3.155,1,1,2,2021
2021-02-13,-0.93,54.614,-3.155,1,1,2,2021
2021-02-14,3.98,54.614,-3.155,1,1,2,2021
2021-02-15,8.37,54.614,-3.155,1,1,2,2021
2021-02-16,8.47,54.614,-3.155,1,1,2,2021
2021-02-17,7.97,54.614,-3.155,1,1,2,2021
2021-02-18,7.31,54.614,-3.155,1,1,2,2021
2021-02-19,8.05,54.614,-3.155,1,1,2,2021
2021-02-20,10.49,54.614,-3.155,1,1,2,2021
2021-02-21,9.15,54.614,-3.155,1,1,2,2021
2021-02-22,7.57,54.614,-3.155,1,1,2,2021
2021-02-23,9.46,54.614,-3.155,1,1,2,2021
2021-02-24,9.38,54.614,-3.155,1,1,2,2021
2021-02-25,6.98,54.614,-3.155,1,1,2,2021
2021-02-26,5.58,54.614,-3.155,1,1,2,2021
2021-02-27,7.54,54.614,-3.155,1,1,2,2021
2021-02-28,4.25,54.614,-3.155,1,1,2,2021
2021-03-01,4.7,54.614,-3.155,1,2,3,2021
2021-03-02,2.12,54.614,-3.155,1,2,3,2021
2021-03-03,0.49,54.614,-3.155,1,2,3,2021
2021-03-04,3.52,54.614,-3.155,1,2,3,2021
2021-03-05,2.68,54.614,-3.155,1,2,3,2021
2021-03-06,1.67,54.614,-3.155,1,2,3,2021
2021-03-07,5.14,54.614,-3.155,1,2,3,2021
2021-03-08,6.82,54.614,-3.155,1,2,3,2021
2021-03-09,7.18,54.614,-3.155,1,2,3,2021
2021-03-10,8.48,54.614,-3.155,1,2,3,2021
2021-03-11,6.88,54.614,-3.155,1,2,3,2021
2021-03-12,5.43,54.614,-3.155,1,2,3,2021
2021-03-13,4.47,54.614,-3.155,1,2,3,2021
2021-03-14,6.19,54.614,-3.155,1,2,3,2021
2021-03-15,8.07,54.614,-3.155,1,2,3,2021
2021-03-16,9.65,54.614,-3.155,1,2,3,2021
2021-03-17,6.28,54.614,-3.155,1,2,3,2021
2021-03-18,7.38,54.614,-3.155,1,2,3,2021
2021-03-19,9.34,54.614,-3.155,1,2,3,2021
2021-03-20,8.22,54.614,-3.155,1,2,3,2021
2021-03-21,7.51,54.614,-3.155,1,2,3,2021
2021-03-22,7.05,54.614,-3.155,1,2,3,2021
2021-03-23,8.3,54.614,-3.155,1,2,3,2021
2021-03-24,7.96,54.614,-3.155,1,2,3,2021
2021-03-25,8.5,54.614,-3.155,1,2,3,2021
2021-03-26,6.71,54.614,-3.155,1,2,3,2021
2021-03-27,6.28,54.614,-3.155,1,2,3,2021
2021-03-28,10.6,54.614,-3.155,1,2,3,2021
2021-03-29,11.56,54.614,-3.155,1,2,3,2021
2021-03-30,11.55,54.614,-3.155,1,2,3,2021
2021-03-31,10.86,54.614,-3.155,1,2,3,2021
2021-04-01,7.25,54.614,-3.155,1,2,4,2021
2021-04-02,5.94,54.614,-3.155,1,2,4,2021
2021-04-03,7.42,54.614,-3.155,1,2,4,2021
2021-04-04,5.22,54.614,-3.155,1,2,4,2021
2021-04-05,3.29,54.614,-3.155,1,2,4,2021
2021-04-06,1.83,54.614,-3.155,1,2,4,2021
2021-04-07,2.04,54.614,-3.155,1,2,4,2021
2021-04-08,7.18,54.614,-3.155,1,2,4,2021
2021-04-09,4.86,54.614,-3.155,1,2,4,2021
2021-04-10,2.12,54.614,-3.155,1,2,4,2021
2021-04-11,1.33,54.614,-3.155,1,2,4,2021
2021-04-12,2.18,54.614,-3.155,1,2,4,2021
2021-04-13,4.45,54.614,-3.155,1,2,4,2021
2021-04-14,6.12,54.614,-3.155,1,2,4,2021
2021-04-15,5.53,54.614,-3.155,1,2,4,2021
2021-04-16,6.17,54.614,-3.155,1,2,4,2021
2021-04-17,6.75,54.614,-3.155,1,2,4,2021
2021-04-18,7.58,54.614,-3.155,1,2,4,2021
2021-04-19,10.82,54.614,-3.155,1,2,4,2021
2021-04-20,8.93,54.614,-3.155,1,2,4,2021
2021-04-21,8.99,54.614,-3.155,1,2,4,2021
2021-04-22,7.25,54.614,-3.155,1,2,4,2021
2021-04-23,9.77,54.614,-3.155,1,2,4,2021
2021-04-24,10.9,54.614,-3.155,1,2,4,2021
2021-04-25,8.99,54.614,-3.155,1,2,4,2021
2021-04-26,8.09,54.614,-3.155,1,2,4,2021
2021-04-27,8.07,54.614,-3.155,1,2,4,2021
2021-04-28,6.58,54.614,-3.155,1,2,4,2021
2021-04-29,4.98,54.614,-3.155,1,2,4,2021
2021-04-30,5.83,54.614,-3.155,1,2,4,2021
2021-05-01,5.19,54.614,-3.155,1,2,5,2021
2021-05-02,6.58,54.614,-3.155,1,2,5,2021
2021-05-03,5.83,54.614,-3.155,1,2,5,2021
2021-05-04,4.68,54.614,-3.155,1,2,5,2021
2021-05-05,3.64,54.614,-3.155,1,2,5,2021
2021-05-06,2.63,54.614,-3.155,1,2,5,2021
2021-05-07,5.61,54.614,-3.155,1,2,5,2021
2021-05-08,7.48,54.614,-3.155,1,2,5,2021
2021-05-09,12.18,54.614,-3.155,1,2,5,2021
2021-05-10,11.16,54.614,-3.155,1,2,5,2021
2021-05-11,10.57,54.614,-3.155,1,2,5,2021
2021-05-12,9.46,54.614,-3.155,1,2,5,2021
2021-05-13,8.85,54.614,-3.155,1,2,5,2021
2021-05-14,8.87,54.614,-3.155,1,2,5,2021
2021-05-15,10.48,54.614,-3.155,1,2,5,2021
2021-05-16,9.46,54.614,-3.155,1,2,5,2021
2021-05-17,10.35,54.614,-3.155,1,2,5,2021
2021-05-18,10.7,54.614,-3.155,1,2,5,2021
2021-05-19,10.27,54.614,-3.155,1,2,5,2021
2021-05-20,8.93,54.614,-3.155,1,2,5,2021
2021-05-21,10.31,54.614,-3.155,1,2,5,2021
2021-05-22,7.95,54.614,-3.155,1,2,5,2021
2021-05-23,8.18,54.614,-3.155,1,2,5,2021
2021-05-24,9.24,54.614,-3.155,1,2,5,2021
2021-05-25,9.71,54.614,-3.155,1,2,5,2021
2021-05-26,9.74,54.614,-3.155,1,2,5,2021
2021-05-27,11.39,54.614,-3.155,1,2,5,2021
2021-05-28,12.25,54.614,-3.155,1,2,5,2021
2021-05-29,14.19,54.614,-3.155,1,2,5,2021
2021-05-30,16.23,54.614,-3.155,1,2,5,2021
2021-05-31,15.92,54.614,-3.155,1,2,5,2021
2021-06-01,18.56,54.614,-3.155,1,3,6,2021
2021-06-02,18.26,54.614,-3.155,1,3,6,2021
2021-06-03,14.68,54.614,-3.155,1,3,6,2021
2021-06-04,12.71,54.614,-3.155,1,3,6,2021
2021-06-05,14.09,54.614,-3.155,1,3,6,2021
2021-06-06,14.85,54.614,-3.155,1,3,6,2021
2021-06-07,14.51,54.614,-3.155,1,3,6,2021
2021-06-08,15.07,54.614,-3.155,1,3,6,2021
2021-06-09,16.02,54.614,-3.155,1,3,6,2021
2021-06-10,16.38,54.614,-3.155,1,3,6,2021
2021-06-11,14.98,54.614,-3.155,1,3,6,2021
2021-06-12,14.1,54.614,-3.155,1,3,6,2021
2021-06-13,17.43,54.614,-3.155,1,3,6,2021
2021-06-14,13.65,54.614,-3.155,1,3,6,2021
2021-06-15,15.03,54.614,-3.155,1,3,6,2021
2021-06-16,14.99,54.614,-3.155,1,3,6,2021
2021-06-17,15.06,54.614,-3.155,1,3,6,2021
2021-06-18,13.88,54.614,-3.155,1,3,6,2021
2021-06-19,15.47,54.614,-3.155,1,3,6,2021
2021-06-20,14.82,54.614,-3.155,1,3,6,2021
2021-06-21,12.6,54.614,-3.155,1,3,6,2021
2021-06-22,13.07,54.614,-3.155,1,3,6,2021
2021-06-23,12.6,54.614,-3.155,1,3,6,2021
2021-06-24,15.32,54.614,-3.155,1,3,6,2021
2021-06-25,11.1,54.614,-3.155,1,3,6,2021
2021-06-26,12.82,54.614,-3.155,1,3,6,2021
2021-06-27,15.36,54.614,-3.155,1,3,6,2021
2021-06-28,16.94,54.614,-3.155,1,3,6,2021
2021-06-29,18.82,54.614,-3.155,1,3,6,2021
2021-06-30,16.35,54.614,-3.155,1,3,6,2021
2021-07-01,15.42,54.614,-3.155,1,3,7,2021
2021-07-02,16.92,54.614,-3.155,1,3,7,2021
2021-07-03,15.95,54.614,-3.155,1,3,7,2021
2021-07-04,16.47,54.614,-3.155,1,3,7,2021
2021-07-05,14.94,54.614,-3.155,1,3,7,2021
2021-07-06,13.6,54.614,-3.155,1,3,7,2021
2021-07-07,14.9,54.614,-3.155,1,3,7,2021
2021-07-08,14.59,54.614,-3.155,1,3,7,2021
2021-07-09,15.73,54.614,-3.155,1,3,7,2021
2021-07-10,16.02,54.614,-3.155,1,3,7,2021
2021-07-11,17.04,54.614,-3.155,1,3,7,2021
2021-07-12,16.88,54.614,-3.155,1,3,7,2021
2021-07-13,17.2,54.614,-3.155,1,3,7,2021
2021-07-14,16.78,54.614,-3.155,1,3,7,2021
2021-07-15,18.69,54.614,-3.155,1,3,7,2021
2021-07-16,19.0,54.614,-3.155,1,3,7,2021
2021-07-17,20.3,54.614,-3.155,1,3,7,2021
2021-07-18,19.42,54.614,-3.155,1,3,7,2021
2021-07-19,19.37,54.614,-3.155,1,3,7,2021
2021-07-20,19.52,54.614,-3.155,1,3,7,2021
2021-07-21,21.22,54.614,-3.155,1,3,7,2021
2021-07-22,22.17,54.614,-3.155,1,3,7,2021
2021-07-23,20.9,54.614,-3.155,1,3,7,2021
2021-07-24,17.81,54.614,-3.155,1,3,7,2021
2021-07-25,17.52,54.614,-3.155,1,3,7,2021
2021-07-26,17.27,54.614,-3.155,1,3,7,2021
2021-07-27,17.65,54.614,-3.155,1,3,7,2021
2021-07-28,14.81,54.614,-3.155,1,3,7,2021
2021-07-29,14.47,54.614,-3.155,1,3,7,2021
2021-07-30,14.42,54.614,-3.155,1,3,7,2021
2021-07-31,14.53,54.614,-3.155,1,3,7,2021
2021-08-01,14.55,54.614,-3.155,1,3,8,2021
2021-08-02,12.91,54.614,-3.155,1,3,8,2021
2021-08-03,13.72,54.614,-3.155,1,3,8,2021
2021-08-04,15.17,54.614,-3.155,1,3,8,2021
2021-08-05,16.36,54.614,-3.155,1,3,8,2021
2021-08-06,15.58,54.614,-3.155,1,3,8,2021
2021-08-07,14.95,54.614,-3.155,1,3,8,2021
2021-08-08,14.95,54.614,-3.155,1,3,8,2021
2021-08-09,14.88,54.614,-3.155,1,3,8,2021
2021-08-10,15.01,54.614,-3.155,1,3,8,2021
2021-08-11,14.78,54.614,-3.155,1,3,8,2021
2021-08-12,14.75,54.614,-3.155,1,3,8,2021
